Article,FA,LA,Title,SelfCite,CitationKey,UsedXref
2,Esra,Arno,Heart–brain interactions shape somatosensory perception and evoked potentials,N,al_heartbrain_2020,N
3,Luca,Scott,ICLabel: An automated electroencephalographic independent component classifier dataset and website,N,pion-tonachini_iclabel_2019,N
4,Steven,Nicholas,How to get statistically significant effects in any ERP experiment (and why you shouldn't),N,luck_how_2017,N
5,Steven,Steven,An introduction to the event-related potential technique,N,luck_introduction_2014,N
6,Kat,Danielle,Gender imbalance in citations most pronounced in high-impact neuroscience journals,N,hefter_gender_2025,N
7,Sol,Agustin,A multidimensional and multi-feature framework for cardiac interoception,N,fittipaldi_multidimensional_2020,N
8,Vera,Martin,Short-Term Fasting and Ingestion of Caloric Drinks Affect Heartbeat-Evoked Potentials and Autonomic Nervous System Activity in Males,N,flasbeck_short-term_2021,N
9,Juan,Juan,Suppression of the cardiac electric field artifact from the heart action evoked potential,N,perez_suppression_2005,N
10,Gerhard,Friedrich,Cardiac field effects on the EEG,N,dirlich_cardiac_1997,N
11,Amanda,Simone,Interoceptive cardiac expectations to emotional stimuli predict visual perception.,N,marshall_interoceptive_2020,N
12,Andre,Claus,Distinctive body perception mechanisms in high versus low symptom reporters: A neurophysiological model for medically-unexplained symptoms,N,schulz_distinctive_2020,N
13,Adrian,Pandelis,Delving into the relationship between regular physical exercise and cardiac interoception in two cross-sectional studies,N,yoris_delving_2024,N
14,HyeongDong,Catherine,Spontaneous fluctuations in neural responses to heartbeats predict visual detection,N,park_spontaneous_2014,N
15,Sarah,Mathias,Heartbeat Evoked Potentials during Sleep and Daytime Behavior in Children with Sleep-disordered Breathing,N,immanuel_heartbeat_2014,N
16,Elsa,Alejandra,Timing along the cardiac cycle modulates neural signals of reward-based learning,N,fouragnan_timing_2024,N
17,Lorenz,Olga,Elevated EEG heartbeat-evoked potentials in adolescents with more ADHD symptoms,N,rapp_elevated_2023,N
18,Andre,Hartmut,Cortisol rapidly affects amplitudes of heartbeat-evoked brain potentials—Implications for the contribution of stress to an altered perception of physical sensations?,N,schulz_cortisol_2013,N
